"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BR41";"2W01G";"DIODEBRIDGE";"DIODEBRIDGE";"";"";"";"";"";
"C1";"47uF";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"Capacitor Polarized";"";"";"";"";
"C2";"47uF";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"Capacitor Polarized";"";"";"";"";
"C3";"1nF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";
"C4";"0.1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";
"C5";"0.1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";
"C6";"22pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";
"C7";"22pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";
"C8";"0.22uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"";
"D1";"";"DIODEPTH";"DIODE-1N4001";"Diode";"";"";"";"";
"D2";"";"DIODEPTH";"DIODE-1N4001";"Diode";"";"";"";"";
"D3";"";"DIODEPTH";"DIODE-1N4001";"Diode";"";"";"";"";
"FTDI";"FTDI";"6PINHEADER0.1"";"6PINHEADER";"";"";"";"";"";
"H5";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"MOUNTING PAD, round";"";"";"";"";
"H6";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"MOUNTING PAD, round";"";"";"";"";
"H7";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"MOUNTING PAD, round";"";"";"";"";
"H8";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"MOUNTING PAD, round";"";"";"";"";
"IC1";"";"V_REG_78XX-TO-220";"TO-220-ALT";"Voltage Regulator";"";"";"";"";
"J1";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"";"";"";"";
"JP1";"";"M06LOCK";"1X06_LOCK";"Header 6";"";"";"";"";
"JP2";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";"";"";
"JP3";"";"M05LOCK";"1X05_LOCK";"Header 5";"";"";"";"";
"JP4";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";
"JP5";"";"M06LOCK";"1X06_LOCK";"Header 6";"";"";"";"";
"JP6";"";"M02LOCK";"1X02_LOCK";"Header 2";"";"";"";"";
"JP7";"";"M02LOCK";"1X02_LOCK";"Header 2";"";"";"";"";
"JP8";"";"M02LOCK";"1X02_LOCK";"Header 2";"";"";"";"";
"JP9";"";"M02LOCK";"1X02_LOCK";"Header 2";"";"";"";"";
"JP10";"";"M02LOCK";"1X02_LOCK";"Header 2";"";"";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";
"LED2";"";"LED5MM";"LED5MM";"LEDs";"";"";"";"";
"LED3";"";"LED5MM";"LED5MM";"LED";"";"";"";"";
"MAINS1";"";"AK500/4";"AK500/4";"CONNECTOR";"";"";"unknown";"unknown";
"R1";"330";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R2";"10K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R3";"1M";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R4";"39";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R5";"390";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R6";"100";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R7";"470";"RESISTORM_5-10";"SQM_5-10";"Resistor";"";"";"";"";
"R8";"47K";"RESISTORM_5-10";"SQM_5-10";"Resistor";"";"";"";"";
"R9";"15K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R10";"2.2K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R13";"4.7K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R14";"270";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R15";"270";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R16";"1M";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";"";
"R17";"10K";"TRIMPOTTRIMPOT_PTH_S3_LOCK";"TRIMPOT_PTH_S3_LOCK";"Various small potentiometers for "set-and-forget" applications";"";"";"";"";
"S1";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";"";"";"";
"SENSOR";"";"AK500/4";"AK500/4";"CONNECTOR";"";"";"unknown";"unknown";
"SPEED";"";"AK500/3";"AK500/3";"CONNECTOR";"";"";"unknown";"unknown";
"SPINDLE";"";"AK500/2";"AK500/2";"CONNECTOR";"";"";"unknown";"unknown";
"U$1";"LM358";"LM358";"DIP08";"Jellybean op-amp";"";"";"";"";
"U$2";"HEATSINK529802B02500G";"HEATSINK529802B02500G";"529802B02500G";"";"";"";"";"";
"U1";"ATMEGA328P_PDIP";"ATMEGA328P_PDIP";"DIL28-3";"uC used in the Arduino";"";"";"";"";
"U2";"MOC3022M";"MOC3022M";"DIL06";"RANDOM-PHASE OPTOISOLATORS TRIAC DRIVER OUTPUT";"FAIRCHILD SEMICONDUCTOR";"MOC3022-M";"1021086";"58K1956";
"U3";"BT139";"TRIAC";"TRIAC";"";"";"";"";"";
"U4";"DB3";"DIAC-DO35-10";"DO35-10";"DIAC";"";"";"";"";
"U5";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";"PC817X4J000F";"9707727";"97K7059";
"Y1";"16MHz";"CRYSTALHC49UV";"HC49U-V";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";
